task_id,bf16_native_base_status,bf16_native_plus_status,bf16_native_base_pass,bf16_native_plus_pass,bf16_native_base_fail_count,bf16_native_plus_fail_count,bf16_native_solution_chars,uniform_int8_base_status,uniform_int8_plus_status,uniform_int8_base_pass,uniform_int8_plus_pass,uniform_int8_base_fail_count,uniform_int8_plus_fail_count,uniform_int8_solution_chars,uniform_int4_base_status,uniform_int4_plus_status,uniform_int4_base_pass,uniform_int4_plus_pass,uniform_int4_base_fail_count,uniform_int4_plus_fail_count,uniform_int4_solution_chars,mixed_exact_int4_budget_base_status,mixed_exact_int4_budget_plus_status,mixed_exact_int4_budget_base_pass,mixed_exact_int4_budget_plus_pass,mixed_exact_int4_budget_base_fail_count,mixed_exact_int4_budget_plus_fail_count,mixed_exact_int4_budget_solution_chars,num_models_base_pass,num_models_plus_pass,mixed_recovers_int4_failure_plus,mixed_loses_int4_success_plus,mixed_matches_int8_plus,int8_only_plus_success
HumanEval/0,pass,pass,1,1,0,0,622,pass,pass,1,1,0,0,642,pass,pass,1,1,0,0,525,pass,pass,1,1,0,0,525,4,4,0,0,1,0
HumanEval/1,pass,pass,1,1,0,0,918,pass,pass,1,1,0,0,918,pass,pass,1,1,0,0,922,pass,pass,1,1,0,0,1192,4,4,0,0,1,0
HumanEval/2,pass,pass,1,1,0,0,456,pass,pass,1,1,0,0,360,pass,pass,1,1,0,0,532,pass,pass,1,1,0,0,532,4,4,0,0,1,0
HumanEval/3,pass,pass,1,1,0,0,573,pass,pass,1,1,0,0,573,pass,pass,1,1,0,0,579,pass,pass,1,1,0,0,574,4,4,0,0,1,0
HumanEval/4,pass,pass,1,1,0,0,640,pass,pass,1,1,0,0,640,pass,pass,1,1,0,0,685,pass,pass,1,1,0,0,636,4,4,0,0,1,0
HumanEval/5,pass,pass,1,1,0,0,455,pass,pass,1,1,0,0,455,pass,pass,1,1,0,0,497,pass,pass,1,1,0,0,497,4,4,0,0,1,0
HumanEval/6,pass,pass,1,1,0,0,810,pass,pass,1,1,0,0,810,pass,pass,1,1,0,0,1205,pass,pass,1,1,0,0,981,4,4,0,0,1,0
HumanEval/7,pass,pass,1,1,0,0,377,pass,pass,1,1,0,0,377,pass,pass,1,1,0,0,560,pass,pass,1,1,0,0,377,4,4,0,0,1,0
HumanEval/8,pass,pass,1,1,0,0,519,pass,pass,1,1,0,0,519,pass,pass,1,1,0,0,519,pass,pass,1,1,0,0,537,4,4,0,0,1,0
HumanEval/9,pass,pass,1,1,0,0,502,pass,pass,1,1,0,0,537,pass,pass,1,1,0,0,566,pass,pass,1,1,0,0,517,4,4,0,0,1,0
HumanEval/10,fail,fail,0,0,1,1,1054,fail,fail,0,0,1,1,1054,fail,fail,0,0,1,1,907,fail,fail,0,0,1,1,1013,0,0,0,0,1,0
HumanEval/11,pass,pass,1,1,0,0,535,pass,pass,1,1,0,0,531,fail,fail,0,0,1,1,722,pass,pass,1,1,0,0,636,3,3,1,0,1,0
HumanEval/12,pass,pass,1,1,0,0,610,pass,pass,1,1,0,0,610,pass,pass,1,1,0,0,565,pass,pass,1,1,0,0,557,4,4,0,0,1,0
HumanEval/13,pass,pass,1,1,0,0,325,pass,pass,1,1,0,0,470,pass,pass,1,1,0,0,516,pass,pass,1,1,0,0,394,4,4,0,0,1,0
HumanEval/14,pass,pass,1,1,0,0,266,pass,pass,1,1,0,0,266,pass,pass,1,1,0,0,321,pass,pass,1,1,0,0,321,4,4,0,0,1,0
HumanEval/15,pass,fail,1,0,0,1,266,pass,fail,1,0,0,1,266,pass,fail,1,0,0,1,335,pass,fail,1,0,0,1,265,4,0,0,0,1,0
HumanEval/16,pass,pass,1,1,0,0,348,pass,pass,1,1,0,0,348,pass,pass,1,1,0,0,494,pass,pass,1,1,0,0,446,4,4,0,0,1,0
HumanEval/17,pass,pass,1,1,0,0,997,pass,pass,1,1,0,0,1156,pass,pass,1,1,0,0,1041,pass,pass,1,1,0,0,1294,4,4,0,0,1,0
HumanEval/18,pass,pass,1,1,0,0,591,pass,pass,1,1,0,0,591,pass,pass,1,1,0,0,545,pass,pass,1,1,0,0,595,4,4,0,0,1,0
HumanEval/19,pass,pass,1,1,0,0,750,pass,pass,1,1,0,0,750,pass,pass,1,1,0,0,872,pass,pass,1,1,0,0,772,4,4,0,0,1,0
HumanEval/20,pass,pass,1,1,0,0,1032,pass,pass,1,1,0,0,1075,pass,pass,1,1,0,0,1141,pass,pass,1,1,0,0,1103,4,4,0,0,1,0
HumanEval/21,pass,pass,1,1,0,0,776,pass,pass,1,1,0,0,776,pass,pass,1,1,0,0,707,pass,pass,1,1,0,0,787,4,4,0,0,1,0
HumanEval/22,pass,pass,1,1,0,0,347,pass,pass,1,1,0,0,347,pass,pass,1,1,0,0,352,pass,pass,1,1,0,0,347,4,4,0,0,1,0
HumanEval/23,pass,pass,1,1,0,0,153,pass,pass,1,1,0,0,153,pass,pass,1,1,0,0,158,pass,pass,1,1,0,0,153,4,4,0,0,1,0
HumanEval/24,pass,pass,1,1,0,0,360,pass,pass,1,1,0,0,360,pass,pass,1,1,0,0,406,pass,pass,1,1,0,0,386,4,4,0,0,1,0
HumanEval/25,pass,pass,1,1,0,0,932,pass,pass,1,1,0,0,924,pass,pass,1,1,0,0,996,pass,pass,1,1,0,0,871,4,4,0,0,1,0
HumanEval/26,pass,pass,1,1,0,0,585,pass,pass,1,1,0,0,585,fail,fail,0,0,1,1,442,pass,pass,1,1,0,0,585,3,3,1,0,1,0
