model,task_id,raw_completion_tokens,sanitized_solution_tokens
BF16,HumanEval/0,210,188
BF16,HumanEval/1,295,226
BF16,HumanEval/2,267,112
BF16,HumanEval/3,172,150
BF16,HumanEval/4,290,172
BF16,HumanEval/5,261,139
BF16,HumanEval/6,273,203
BF16,HumanEval/7,128,106
BF16,HumanEval/8,246,155
BF16,HumanEval/9,337,154
BF16,HumanEval/10,366,269
BF16,HumanEval/11,284,158
BF16,HumanEval/12,281,171
BF16,HumanEval/13,215,112
BF16,HumanEval/14,197,78
BF16,HumanEval/15,192,86
BF16,HumanEval/16,189,94
BF16,HumanEval/17,379,319
BF16,HumanEval/18,189,167
BF16,HumanEval/19,341,234
BF16,HumanEval/20,483,313
BF16,HumanEval/21,445,254
BF16,HumanEval/22,231,113
BF16,HumanEval/23,135,47
BF16,HumanEval/24,209,116
BF16,HumanEval/25,392,282
BF16,HumanEval/26,331,165
BF16,HumanEval/27,154,67
BF16,HumanEval/28,169,64
BF16,HumanEval/29,123,101
BF16,HumanEval/30,222,133
BF16,HumanEval/31,229,207
BF16,HumanEval/32,702,635
BF16,HumanEval/33,394,259
BF16,HumanEval/34,219,81
BF16,HumanEval/35,132,110
BF16,HumanEval/36,166,144
BF16,HumanEval/37,379,254
BF16,HumanEval/38,461,163
BF16,HumanEval/39,296,274
BF16,HumanEval/40,289,267
BF16,HumanEval/41,325,190
BF16,HumanEval/42,148,126
BF16,HumanEval/43,217,195
BF16,HumanEval/44,185,163
BF16,HumanEval/45,138,54
BF16,HumanEval/46,422,348
BF16,HumanEval/47,255,163
BF16,HumanEval/48,107,85
BF16,HumanEval/49,178,156
BF16,HumanEval/50,310,66
BF16,HumanEval/51,182,160
BF16,HumanEval/52,239,97
BF16,HumanEval/53,82,60
BF16,HumanEval/54,204,182
BF16,HumanEval/55,240,153
BF16,HumanEval/56,177,155
BF16,HumanEval/57,239,217
BF16,HumanEval/58,158,136
BF16,HumanEval/59,262,194
BF16,HumanEval/60,157,135
BF16,HumanEval/61,176,154
BF16,HumanEval/62,317,206
BF16,HumanEval/63,385,291
BF16,HumanEval/64,435,211
BF16,HumanEval/65,344,211
BF16,HumanEval/66,292,154
BF16,HumanEval/67,519,352
BF16,HumanEval/68,564,319
BF16,HumanEval/69,381,157
BF16,HumanEval/70,399,262
BF16,HumanEval/71,350,236
BF16,HumanEval/72,331,120
BF16,HumanEval/73,364,220
BF16,HumanEval/74,413,258
BF16,HumanEval/75,621,351
BF16,HumanEval/76,739,483
BF16,HumanEval/77,318,163
BF16,HumanEval/78,269,118
BF16,HumanEval/79,336,219
BF16,HumanEval/80,347,192
BF16,HumanEval/81,629,524
BF16,HumanEval/82,357,148
BF16,HumanEval/83,495,352
BF16,HumanEval/84,388,203
BF16,HumanEval/85,257,114
BF16,HumanEval/86,252,187
BF16,HumanEval/87,524,359
BF16,HumanEval/88,527,327
BF16,HumanEval/89,406,261
BF16,HumanEval/90,339,245
BF16,HumanEval/91,331,244
BF16,HumanEval/92,465,214
BF16,HumanEval/93,396,330
BF16,HumanEval/94,768,493
BF16,HumanEval/95,348,159
BF16,HumanEval/96,504,315
BF16,HumanEval/97,314,159
BF16,HumanEval/98,319,210
BF16,HumanEval/99,226,204
BF16,HumanEval/100,373,237
BF16,HumanEval/101,270,138
BF16,HumanEval/102,341,155
BF16,HumanEval/103,355,256
BF16,HumanEval/104,335,184
BF16,HumanEval/105,768,459
BF16,HumanEval/106,414,265
BF16,HumanEval/107,307,188
BF16,HumanEval/108,338,270
BF16,HumanEval/109,632,419
BF16,HumanEval/110,526,342
BF16,HumanEval/111,424,249
BF16,HumanEval/112,367,179
BF16,HumanEval/113,372,310
BF16,HumanEval/114,319,195
BF16,HumanEval/115,428,211
BF16,HumanEval/116,503,364
BF16,HumanEval/117,368,199
BF16,HumanEval/118,768,391
BF16,HumanEval/119,395,279
BF16,HumanEval/120,490,273
BF16,HumanEval/121,242,154
BF16,HumanEval/122,445,189
BF16,HumanEval/123,434,326
BF16,HumanEval/124,768,572
BF16,HumanEval/125,288,220
BF16,HumanEval/126,550,308
BF16,HumanEval/127,768,341
BF16,HumanEval/128,328,260
BF16,HumanEval/129,768,768
BF16,HumanEval/130,768,766
BF16,HumanEval/131,248,151
BF16,HumanEval/132,733,328
BF16,HumanEval/133,331,179
BF16,HumanEval/134,414,230
BF16,HumanEval/135,326,197
BF16,HumanEval/136,372,204
BF16,HumanEval/137,415,264
BF16,HumanEval/138,270,112
BF16,HumanEval/139,257,183
BF16,HumanEval/140,423,266
BF16,HumanEval/141,768,385
BF16,HumanEval/142,352,275
BF16,HumanEval/143,225,172
BF16,HumanEval/144,364,292
BF16,HumanEval/145,515,249
BF16,HumanEval/146,345,268
BF16,HumanEval/147,768,507
BF16,HumanEval/148,322,191
BF16,HumanEval/149,387,255
BF16,HumanEval/150,368,218
BF16,HumanEval/151,351,214
BF16,HumanEval/152,393,252
BF16,HumanEval/153,534,384
BF16,HumanEval/154,358,196
BF16,HumanEval/155,262,150
BF16,HumanEval/156,546,341
BF16,HumanEval/157,339,194
BF16,HumanEval/158,290,212
BF16,HumanEval/159,526,346
BF16,HumanEval/160,768,485
BF16,HumanEval/161,313,215
BF16,HumanEval/162,242,114
BF16,HumanEval/163,348,209
INT8,HumanEval/0,218,196
INT8,HumanEval/1,295,226
INT8,HumanEval/2,246,91
INT8,HumanEval/3,172,150
INT8,HumanEval/4,290,172
INT8,HumanEval/5,261,139
INT8,HumanEval/6,273,203
INT8,HumanEval/7,128,106
INT8,HumanEval/8,246,155
INT8,HumanEval/9,341,164
INT8,HumanEval/10,367,269
INT8,HumanEval/11,337,157
INT8,HumanEval/12,281,171
INT8,HumanEval/13,276,156
INT8,HumanEval/14,197,78
INT8,HumanEval/15,188,86
INT8,HumanEval/16,189,94
INT8,HumanEval/17,416,356
INT8,HumanEval/18,189,167
INT8,HumanEval/19,341,234
INT8,HumanEval/20,432,331
INT8,HumanEval/21,487,254
INT8,HumanEval/22,251,113
INT8,HumanEval/23,135,47
INT8,HumanEval/24,209,116
INT8,HumanEval/25,413,280
INT8,HumanEval/26,331,165
INT8,HumanEval/27,166,67
INT8,HumanEval/28,161,64
INT8,HumanEval/29,123,101
INT8,HumanEval/30,222,133
INT8,HumanEval/31,238,216
INT8,HumanEval/32,768,701
INT8,HumanEval/33,368,259
INT8,HumanEval/34,219,81
INT8,HumanEval/35,132,110
INT8,HumanEval/36,166,144
INT8,HumanEval/37,379,254
INT8,HumanEval/38,497,163
INT8,HumanEval/39,296,274
INT8,HumanEval/40,289,267
